id_coleta,fonte,sistema,descricao_base,url_origem,endpoint,metodo_http,arquivo_bruto,formato_arquivo,data_referencia_inicial,data_referencia_final,data_atualizacao_fonte,data_hora_coleta,parametros_requisicao,filtros_selecionados,opcoes_selecionadas,codigo_http,status_coleta,quantidade_registros,hash_sha256,versao_coletor,observacoes
snis_aguas_pluviais_2022_20260728T154929-0300,SNIS/Ministério das Cidades,Diagnósticos SNIS,Planilhas de informações e indicadores de águas pluviais,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Planilhas_AP2022.zip,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Planilhas_AP2022.zip,GET,data\raw\saneamento\snis_aguas_pluviais\snis_aguas_pluviais_2022_20260728T154929-0300.zip,zip,2022,2022,,2026-07-28T15:49:29.921530-03:00,{},{},"{""componente"": ""aguas_pluviais""}",200,sucesso,,f163ccc09c6f3c41c8fd5d23088341677b9acdcbd388f362bee28b94b317bf24,0.1.0,Pacote anual nacional preservado integralmente e validado como ZIP.
snis_aguas_pluviais_2020_20260728T155144-0300,SNIS/Ministério das Cidades,Diagnósticos SNIS,Planilhas de informações e indicadores de águas pluviais,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Planilhas_AP2020.zip,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Planilhas_AP2020.zip,GET,data\raw\saneamento\snis_aguas_pluviais\snis_aguas_pluviais_2020_20260728T155144-0300.zip,zip,2020,2020,,2026-07-28T15:51:44.052004-03:00,{},{},"{""componente"": ""aguas_pluviais""}",200,sucesso,,b791e307385ae030e44928b99a4bb785de8ad1c6d3d19c3315740c9a1b89596c,0.1.0,Pacote anual nacional preservado integralmente e validado como ZIP.
snis_aguas_pluviais_2021_20260728T155144-0300,SNIS/Ministério das Cidades,Diagnósticos SNIS,Planilhas de informações e indicadores de águas pluviais,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Planilhas_AP2021.zip,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Planilhas_AP2021.zip,GET,data\raw\saneamento\snis_aguas_pluviais\snis_aguas_pluviais_2021_20260728T155144-0300.zip,zip,2021,2021,,2026-07-28T15:51:44.052004-03:00,{},{},"{""componente"": ""aguas_pluviais""}",200,sucesso,,1b274e4d10934fb57a67551679b28912555fbf7b6328b6a560a46bc5bbdce038,0.1.0,Pacote anual nacional preservado integralmente e validado como ZIP.
snis_aguas_pluviais_2022_20260728T155144-0300,SNIS/Ministério das Cidades,Diagnósticos SNIS,Planilhas de informações e indicadores de águas pluviais,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Planilhas_AP2022.zip,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Planilhas_AP2022.zip,GET,data\raw\saneamento\snis_aguas_pluviais\snis_aguas_pluviais_2022_20260728T155144-0300.zip,zip,2022,2022,,2026-07-28T15:51:44.052004-03:00,{},{},"{""componente"": ""aguas_pluviais""}",200,sucesso,,f163ccc09c6f3c41c8fd5d23088341677b9acdcbd388f362bee28b94b317bf24,0.1.0,Pacote anual nacional preservado integralmente e validado como ZIP.
sinisa_de_para_20260728T160430-0300,SINISA/Ministério das Cidades,SINISA,Regra de transição SNIS-SINISA-ACERTAR,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/arquivos/Planilha_De_Para_SINISA_SNIS_ACERTAR___20250623.pdf,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/arquivos/Planilha_De_Para_SINISA_SNIS_ACERTAR___20250623.pdf,GET,data\raw\saneamento\sinisa_referencias\de_para_sinisa_snis_acertar_20260728T160430-0300.pdf,pdf,,,,2026-07-28T16:04:30.084430-03:00,{},{},"{""tipo"": ""de_para""}",200,sucesso,,2cadeb153b3b2771518c2b07effa73bf39962b2af0d25e370a449626d0d4c7fb,0.1.0,PDF oficial preservado integralmente antes da extração.
snis_agua_esgoto_indicadores_2022_20260728T161529-0300,SNIS/SINISA - Ministério das Cidades,SNIS/SINISA,Glossário oficial: snis_agua_esgoto_indicadores_2022,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Glossario_Indicadores_AE2022.pdf,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/Glossario_Indicadores_AE2022.pdf,GET,data\raw\saneamento\glossarios\snis_agua_esgoto_indicadores_2022_20260728T161529-0300.pdf,pdf,2022,2022,,2026-07-28T16:15:29.909525-03:00,{},{},"{""documento"": ""snis_agua_esgoto_indicadores_2022""}",200,sucesso,,81522be5702d00af6ca1d993c9b86687de5ba2788e7233b2bb00cc67d24c3504,0.1.0,PDF oficial preservado integralmente antes da análise.
sinisa_agua_indicadores_ref2023_20260728T161529-0300,SNIS/SINISA - Ministério das Cidades,SNIS/SINISA,Glossário oficial: sinisa_agua_indicadores_ref2023,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/INDICADORES_SINISA_ABASTECIMENTO_DE_AGUA_2024_v2.pdf,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/INDICADORES_SINISA_ABASTECIMENTO_DE_AGUA_2024_v2.pdf,GET,data\raw\saneamento\glossarios\sinisa_agua_indicadores_ref2023_20260728T161529-0300.pdf,pdf,2023,2023,,2026-07-28T16:15:29.909525-03:00,{},{},"{""documento"": ""sinisa_agua_indicadores_ref2023""}",200,sucesso,,747f2d7a5b550fb6dc8f5c50892398b912a9c502c4b712776c35441f421f977d,0.1.0,PDF oficial preservado integralmente antes da análise.
sinisa_esgoto_indicadores_ref2023_20260728T161529-0300,SNIS/SINISA - Ministério das Cidades,SNIS/SINISA,Glossário oficial: sinisa_esgoto_indicadores_ref2023,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/arquivos/INDICADORES_SINISA_ESGOTAMENTOSANITRIO_2024_V2.pdf,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/arquivos/INDICADORES_SINISA_ESGOTAMENTOSANITRIO_2024_V2.pdf,GET,data\raw\saneamento\glossarios\sinisa_esgoto_indicadores_ref2023_20260728T161529-0300.pdf,pdf,2023,2023,,2026-07-28T16:15:29.909525-03:00,{},{},"{""documento"": ""sinisa_esgoto_indicadores_ref2023""}",200,sucesso,,2e0fa499e243d8c4a703b987986db4fbe6ac3384f382512a49fd00b5f55e4863,0.1.0,PDF oficial preservado integralmente antes da análise.
sinisa_abastecimento_agua_2024_20260731T095645-0300,SINISA/Ministério das Cidades,SINISA,Informações e indicadores — abastecimento_agua,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/resultados-sinisa-2025,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/SINISA_Resultados_Ref2024.zip,GET,data\raw\saneamento\sinisa\sinisa_abastecimento_agua_ref2024_20260731T095645-0300.zip,zip,2024,2024,,2026-07-31T09:56:45.658360-03:00,{},{},"{""modulo"": ""abastecimento_agua""}",200,sucesso,,777eb5f8dcd1483df76823a3bede1d77f40b177adac1c330c5a611b4c4ab6d74,0.1.0,Produto SINISA 2024 com ano de referência 2023; pacote oficial preservado sem transformação.
sinisa_esgotamento_sanitario_2024_20260731T095645-0300,SINISA/Ministério das Cidades,SINISA,Informações e indicadores — esgotamento_sanitario,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/resultados-sinisa-2025,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/SINISA_ESGOTO_Planilhas_2024.zip,GET,data\raw\saneamento\sinisa\sinisa_esgotamento_sanitario_ref2024_20260731T095645-0300.zip,zip,2024,2024,,2026-07-31T09:56:45.658360-03:00,{},{},"{""modulo"": ""esgotamento_sanitario""}",200,sucesso,,66cd24d0abbc81a95da4e41d2b89e287aafcd2c18f1c3ad2b7d7cf9ee011ca67,0.1.0,Produto SINISA 2024 com ano de referência 2023; pacote oficial preservado sem transformação.
sinisa_residuos_solidos_2024_20260731T095645-0300,SINISA/Ministério das Cidades,SINISA,Informações e indicadores — residuos_solidos,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/resultados-sinisa-2025,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/SINISA_RESIDUOS_planilhas_2024.zip,GET,data\raw\saneamento\sinisa\sinisa_residuos_solidos_ref2024_20260731T095645-0300.zip,zip,2024,2024,,2026-07-31T09:56:45.658360-03:00,{},{},"{""modulo"": ""residuos_solidos""}",200,sucesso,,caa7a0fe02219368a26c1c65a718dfe14b5bd06ddc6da95f89b9eddbbadbf4c1,0.1.0,Produto SINISA 2024 com ano de referência 2023; pacote oficial preservado sem transformação.
sinisa_aguas_pluviais_2024_20260731T095645-0300,SINISA/Ministério das Cidades,SINISA,Informações e indicadores — aguas_pluviais,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/resultados-sinisa-2025,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/SINISA_AGUASPLUVIAIS_Informacoes_Indicadores_2025.zip,GET,data\raw\saneamento\sinisa\sinisa_aguas_pluviais_ref2024_20260731T095645-0300.zip,zip,2024,2024,,2026-07-31T09:56:45.658360-03:00,{},{},"{""modulo"": ""aguas_pluviais""}",200,sucesso,,3b9eb2d28e66db7d93a2e1cf7504be13ca70916cbac9cf01305cab87655cc07b,0.1.0,Produto SINISA 2024 com ano de referência 2023; pacote oficial preservado sem transformação.
